Add saving account,2021-05-21
Add bank account,2021-05-21
Payment,2021-05-21
Money withdrawal,2021-05-21
Payment,2021-05-21
Payment,2021-05-21
Add credit card,2021-05-23
Add credit card,2021-05-23
Add credit card,2021-05-23
Add bank account,2021-05-23
Add credit card,2021-05-23
Add credit card,2021-05-23
Add credit card,2021-05-23
Add credit card,2021-05-23
Add debit card,2021-05-23
Connection to the app account,2021-05-23
Money transfer,2021-05-23
Connection to the app account,2021-05-23
Balance check,2021-05-23
Balance check,2021-05-23
Balance check,2021-05-23
Money withdrawal,2021-05-23
Remove card,2021-05-23
Money withdrawal,2021-05-23
Money withdrawal,2021-05-23
Money withdrawal,2021-05-23
Connection to the app account,2021-05-23
Money transfer,2021-05-23
Remove card,2021-05-23
Connection to the app account,2021-05-23
Money transfer,2021-05-23
Payment,2021-05-23
Connection to the app account,2021-05-25
Connection to the app account,2021-05-25
Connection to the app account,2021-05-25
Add bank account,2021-05-25
Add saving account,2021-05-25
Add credit card,2021-05-25
Add debit card,2021-05-25
Add client,2021-05-25
Add app account,2021-05-25
Add bank account,2021-05-25
Add saving account,2021-05-25
Add credit card,2021-05-25
Add debit card,2021-05-25
Add debit card,2021-05-25
Connection to the app account,2021-05-25
Balance check,2021-05-25
Balance check,2021-05-25
Money transfer,2021-05-25
Account statement,2021-05-25
Check Balance,2021-05-25
Money withdrawal,2021-05-25
Add funds,2021-05-25
Payment,2021-05-25
Remove card,2021-05-25
Connection to the app account,2021-05-25
Balance check,2021-05-25
Connection to the app account,2021-05-25
Balance check,2021-05-25
Money transfer,2021-05-25
Account statement,2021-05-25
Connection to the app account,2021-05-25
Balance check,2021-05-25
Money transfer,2021-05-25
Connection to the app account,2021-05-25
Balance check,2021-05-25
Connection to the app account,2021-05-25
Balance check,2021-05-25
Money transfer,2021-05-25
Balance check,2021-05-25
Account statement,2021-05-25
Check Balance,2021-05-25
Money withdrawal,2021-05-25
Add funds,2021-05-25
Payment,2021-05-25
Remove card,2021-05-25
Add client,2021-05-25
Add app account,2021-05-25
Add bank account,2021-05-25
Add saving account,2021-05-25
Connection to the app account,2021-05-25
Account statement,2021-05-25
Account statement,2021-05-25
